sector,m,d,p
5,-7.417202791,0.631652081,0.015994455
2,-527.3629991,49.29299622,0.005137512
2,-439.1165735,42.36604066,0.005386108
5,112.8396871,13.19378099,0.016845571
5,93.66136208,14.56228763,0.017554767
3,-60.09451308,2.706005503,0.010072828
3,58.4400727,2.164451739,0.007902007
2,-1118.156218,102.6134573,0.006561552
2,1109.133673,33.639418,0.005298406
5,19.41501035,2.810369791,0.016373765
5,-120.9885702,15.05912796,0.016989323
2,-1150.687163,14.8134587,0.004076536
2,-1239.265302,77.48177531,0.005788595
3,-56.39302188,1.595206459,0.007793871
2,288.6787145,96.0865556,0.00399898
6,66.38355604,10.72526917,0.012986387
2,573.1657619,56.92086821,0.004752647
5,107.9852476,6.656426261,0.012521791
6,94.75080857,8.858080016,0.008518682
1,68.20238251,10.44302817,0.01457575
2,1154.605027,10.6869977,0.005078375
2,-699.0077466,44.86282862,0.003873641
2,-352.4273482,29.80162452,0.005816393
6,-27.29715344,3.141075861,0.016089838
6,94.71506694,11.29960273,0.015300891
5,97.61846894,7.261226275,0.01599889
2,-374.6875087,103.9437445,0.005550904
6,72.13253919,10.52054812,0.012266075
5,54.64426133,5.908584537,0.017571622
4,2674.591511,108.2134984,0.001173214
5,-74.33396796,12.28098428,0.014196213
2,-567.4970466,104.2421945,0.005087437
6,-78.27140103,10.67076535,0.008351656
6,48.34214792,9.221921595,0.016416864
1,60.84011666,11.00542582,0.011447497
1,85.21374086,11.06847977,0.009440364
2,-613.3055647,98.35608788,0.004737083
2,-272.0939768,102.5750765,0.004865772
1,-92.15863261,11.46019701,0.015485832
5,-69.61557389,7.432918483,0.013226418
5,62.64970256,6.03915465,0.016221366
6,63.94368602,3.368109618,0.022182225
5,58.16110305,1.289232742,0.01627592
3,57.58633078,2.090583441,0.011355932
2,554.2398859,62.99023858,0.004517235
5,13.97366194,0.410909655,0.01618234
5,-30.86907908,2.689459136,0.017358922
2,-381.4061975,62.2590671,0.005565457
5,116.4285635,0.849443727,0.014910144
5,8.735887374,0.058937343,0.013962334
2,-687.5061714,66.37981482,0.00598915
5,-8.134463358,0.638947691,0.012656261
2,715.371297,91.32242895,0.006595092
5,99.22075567,5.983978544,0.017151134
2,-838.8755702,90.63471385,0.005767273
1,-88.82796654,13.56378554,0.003553704
3,-50.61689082,3.901583784,0.00902879
6,48.71371428,2.810353244,0.022467901
2,-1011.174599,43.74199713,0.006374041
5,-42.5913083,3.481203597,0.01673688
2,-759.6545238,12.54326821,0.004684237
5,-97.35011556,17.32472125,0.01423436
2,-985.7814667,65.11827483,0.004259687
5,23.75422693,4.303801209,0.012852253
2,752.8723037,46.35691922,0.005300416
2,888.5013903,77.38506788,0.005252807
2,-1229.29808,29.32949471,0.005057465
7,-1257.572403,132.1441959,0.018454847
6,39.0315042,4.741862998,0.01214974
5,71.72224352,12.9753094,0.016055546
4,1912.69329,83.18314325,0.000923606
5,94.87859699,15.36901834,0.016314657
6,94.34154647,3.797167134,0.012001678
2,856.2176999,73.62540653,0.003862071
2,404.2170198,101.352515,0.00476898
5,-42.78764523,0.260277042,0.015954563
6,-30.49832299,1.325801043,0.019970269
2,575.8766582,88.26986259,0.005060944
2,-603.1751994,76.54934859,0.005375839
6,-23.3299284,0.496762574,0.01222458
2,945.7960235,58.74866631,0.00626599
2,671.3742381,98.83084925,0.004187457
5,-17.68620797,2.911849918,0.017068468
6,-77.24145929,8.692932706,0.008574369
2,-1083.831941,44.68681171,0.004681152
2,-275.8680729,65.51878469,0.004078029
6,-18.73669281,2.179819901,0.012661159
5,44.13554647,6.602092614,0.015483486
5,94.08078513,9.558668263,0.015063223
1,46.95925924,11.97353869,0.012667967
2,968.9439421,102.8404494,0.003685088
2,926.0306613,83.56440616,0.005791652
5,39.32731265,0.376481005,0.013329874
2,801.6095885,12.66119201,0.004331733
2,429.8219043,38.60855667,0.005062377
1,-90.33516459,12.5880476,0.003871002
1,59.42293772,11.21558517,0.009175675
6,-74.44602795,5.639735013,0.01117338
2,-1055.030817,53.06630206,0.003703209
2,665.814871,46.65863723,0.004603352
6,59.34909878,8.869496054,0.010166572
5,59.90847797,9.088112623,0.014513387
6,-16.87358748,2.291167864,0.010699136
6,-21.65935434,2.636510281,0.01493623
6,-55.12600733,4.351082893,0.01187879
6,97.66670691,15.07632007,0.019857937
6,-39.88889296,3.519755251,0.013473133
5,74.26698151,11.65229186,0.016405459
2,-752.4934588,101.9737078,0.003885012
6,88.82718444,0.94013926,0.020291831
2,-824.5629639,77.26624039,0.006377661
6,-37.88090006,7.529249139,0.018968545
2,306.5084201,27.34059644,0.004791789
5,-123.0386212,19.21781359,0.015174373
2,974.6534277,101.875712,0.005081248
5,-100.6858564,4.555310184,0.014275652
6,34.37073736,5.548392967,0.008259722
2,-951.6039338,78.34870105,0.005841947
