,sector,m,d,p,sec_loading,t
0,5,-7.417202791,0.631652081,0.015994455,0.64,-2.1445491710354183
1,2,-527.3629991,49.29299622,0.005137512,0.41,-2.5664337879070946
2,2,-439.1165735,42.36604066,0.005386108,0.41,-2.550002456685402
3,5,112.8396871,13.19378099,0.016845571,0.64,-2.12374894796088
4,5,93.66136208,14.56228763,0.017554767,0.64,-2.1070928268106983
5,3,-60.09451308,2.706005503,0.010072828,0.415,-2.3236239808684926
6,3,58.4400727,2.164451739,0.007902007,0.415,-2.4134103794938695
7,2,-1118.156218,102.6134573,0.006561552,0.41,-2.480410946358748
8,2,1109.133673,33.639418,0.005298406,0.41,-2.5557207571150817
9,5,19.41501035,2.810369791,0.016373765,0.64,-2.1351650578761094
10,5,-120.9885702,15.05912796,0.016989323,0.64,-2.120325009090573
11,2,-1150.687163,14.8134587,0.004076536,0.41,-2.645664145710289
12,2,-1239.265302,77.48177531,0.005788595,0.41,-2.5247764741657983
13,3,-56.39302188,1.595206459,0.007793871,0.415,-2.4184277214589227
14,2,288.6787145,96.0865556,0.00399898,0.41,-2.65215591505415
15,6,66.38355604,10.72526917,0.012986387,0.403,-2.226618611773289
16,2,573.1657619,56.92086821,0.004752647,0.41,-2.593324854523221
17,5,107.9852476,6.656426261,0.012521791,0.64,-2.2407298089135437
18,6,94.75080857,8.858080016,0.008518682,0.403,-2.3859004125992067
19,1,68.20238251,10.44302817,0.01457575,0.49,-2.181431714803879
20,2,1154.605027,10.6869977,0.005078375,0.41,-2.570446545686132
21,2,-699.0077466,44.86282862,0.003873641,0.41,-2.662889631570481
22,2,-352.4273482,29.80162452,0.005816393,0.41,-2.5230923104936194
23,6,-27.29715344,3.141075861,0.016089838,0.403,-2.142171599404428
24,6,94.71506694,11.29960273,0.015300891,0.403,-2.162212739937482
25,5,97.61846894,7.261226275,0.01599889,0.64,-2.1444383526277844
26,2,-374.6875087,103.9437445,0.005550904,0.41,-2.539477833981086
27,6,72.13253919,10.52054812,0.012266075,0.403,-2.248691191339923
28,5,54.64426133,5.908584537,0.017571622,0.64,-2.106704014654566
29,4,2674.591511,108.2134984,0.001173214,0.338,-3.0424730850871358
30,5,-74.33396796,12.28098428,0.014196213,0.64,-2.191821112912649
31,2,-567.4970466,104.2421945,0.005087437,0.41,-2.569828951050307
32,6,-78.27140103,10.67076535,0.008351656,0.403,-2.3931741230346546
33,6,48.34214792,9.221921595,0.016416864,0.403,-2.1341106048013825
34,1,60.84011666,11.00542582,0.011447497,0.49,-2.2751823368895505
35,1,85.21374086,11.06847977,0.009440364,0.49,-2.3478775346496352
36,2,-613.3055647,98.35608788,0.004737083,0.41,-2.5944526591639128
37,2,-272.0939768,102.5750765,0.004865772,0.41,-2.5852251019114307
38,1,-92.15863261,11.46019701,0.015485832,0.49,-2.1574365750404327
39,5,-69.61557389,7.432918483,0.013226418,0.64,-2.219498399288096
40,5,62.64970256,6.03915465,0.016221366,0.64,-2.1389127901484075
41,6,63.94368602,3.368109618,0.022182225,0.403,-2.010630972862582
42,5,58.16110305,1.289232742,0.01627592,0.64,-2.1375677689573944
43,3,57.58633078,2.090583441,0.011355932,0.415,-2.278247024332849
44,2,554.2398859,62.99023858,0.004517235,0.41,-2.6107470143211775
45,5,13.97366194,0.410909655,0.01618234,0.64,-2.1398773502251602
46,5,-30.86907908,2.689459136,0.017358922,0.64,-2.111634116060595
47,2,-381.4061975,62.2590671,0.005565457,0.41,-2.5385618065374356
48,5,116.4285635,0.849443727,0.014910144,0.64,-2.172469231353552
49,5,8.735887374,0.058937343,0.013962334,0.64,-2.1983430606121233
50,2,-687.5061714,66.37981482,0.00598915,0.41,-2.512782967546112
51,5,-8.134463358,0.638947691,0.012656261,0.64,-2.2365995861531025
52,2,715.371297,91.32242895,0.006595092,0.41,-2.478592675600142
53,5,99.22075567,5.983978544,0.017151134,0.64,-2.1165004379165935
54,2,-838.8755702,90.63471385,0.005767273,0.41,-2.526073154653259
55,1,-88.82796654,13.56378554,0.003553704,0.49,-2.6917693518092207
56,3,-50.61689082,3.901583784,0.00902879,0.415,-2.364435324157709
57,6,48.71371428,2.810353244,0.022467901,0.403,-2.005254915152917
58,2,-1011.174599,43.74199713,0.006374041,0.41,-2.4907303765628406
59,5,-42.5913083,3.481203597,0.01673688,0.64,-2.126354419267747
60,2,-759.6545238,12.54326821,0.004684237,0.41,-2.5983068289052667
61,5,-97.35011556,17.32472125,0.01423436,0.64,-2.1907661410717845
62,2,-985.7814667,65.11827483,0.004259687,0.41,-2.6307617376353685
63,5,23.75422693,4.303801209,0.012852253,0.64,-2.2306472250412885
64,2,752.8723037,46.35691922,0.005300416,0.41,-2.555588762796937
65,2,888.5013903,77.38506788,0.005252807,0.41,-2.558727219854528
66,2,-1229.29808,29.32949471,0.005057465,0.41,-2.5718753595188977
67,7,-1257.572403,132.1441959,0.018454847,0.476,-2.0867615543432483
68,6,39.0315042,4.741862998,0.01214974,0.403,-2.252360813036557
69,5,71.72224352,12.9753094,0.016055546,0.64,-2.143024987344003
70,4,1912.69329,83.18314325,0.000923606,0.338,-3.113757569838154
71,5,94.87859699,15.36901834,0.016314657,0.64,-2.1366150561834436
72,6,94.34154647,3.797167134,0.012001678,0.403,-2.2570755238762077
73,2,856.2176999,73.62540653,0.003862071,0.41,-2.6638960815752077
74,2,404.2170198,101.352515,0.00476898,0.41,-2.5921448626553927
75,5,-42.78764523,0.260277042,0.015954563,0.64,-2.1455471477953565
76,6,-30.49832299,1.325801043,0.019970269,0.403,-2.0543633449539627
77,2,575.8766582,88.26986259,0.005060944,0.41,-2.571637269534774
78,2,-603.1751994,76.54934859,0.005375839,0.41,-2.5506677131335174
79,6,-23.3299284,0.496762574,0.01222458,0.403,-2.2499966179670956
80,2,945.7960235,58.74866631,0.00626599,0.41,-2.496799476642775
81,2,671.3742381,98.83084925,0.004187457,0.41,-2.6365691039089088
82,5,-17.68620797,2.911849918,0.017068468,0.64,-2.1184504630021035
83,6,-77.24145929,8.692932706,0.008574369,0.403,-2.3835031436686958
84,2,-1083.831941,44.68681171,0.004681152,0.41,-2.5985330206869834
85,2,-275.8680729,65.51878469,0.004078029,0.41,-2.645540263455
86,6,-18.73669281,2.179819901,0.012661159,0.403,-2.2364498631546366
87,5,44.13554647,6.602092614,0.015483486,0.64,-2.1574968539084547
88,5,94.08078513,9.558668263,0.015063223,0.64,-2.1684239381205357
89,1,46.95925924,11.97353869,0.012667967,0.49,-2.2362418381474938
90,2,968.9439421,102.8404494,0.003685088,0.41,-2.679638257260576
91,2,926.0306613,83.56440616,0.005791652,0.41,-2.5245909126508064
92,5,39.32731265,0.376481005,0.013329874,0.64,-2.2164638942224215
93,2,801.6095885,12.66119201,0.004331733,0.41,-2.625056224897384
94,2,429.8219043,38.60855667,0.005062377,0.41,-2.5715392426515913
95,1,-90.33516459,12.5880476,0.003871002,0.49,-2.6631189552631858
96,1,59.42293772,11.21558517,0.009175675,0.49,-2.358451654283819
97,6,-74.44602795,5.639735013,0.01117338,0.403,-2.2844216907800523
98,2,-1055.030817,53.06630206,0.003703209,0.41,-2.6779956509675644
99,2,665.814871,46.65863723,0.004603352,0.41,-2.6042817389650397
100,6,59.34909878,8.869496054,0.010166572,0.403,-2.320142978994528
101,5,59.90847797,9.088112623,0.014513387,0.64,-2.1831227178667953
102,6,-16.87358748,2.291167864,0.010699136,0.403,-2.300882527146394
103,6,-21.65935434,2.636510281,0.01493623,0.403,-2.171777362071465
104,6,-55.12600733,4.351082893,0.01187879,0.403,-2.2610270835392274
105,6,97.66670691,15.07632007,0.019857937,0.403,-2.0566918773072667
106,6,-39.88889296,3.519755251,0.013473133,0.403,-2.2122953238725094
107,5,74.26698151,11.65229186,0.016405459,0.64,-2.1343894068205134
108,2,-752.4934588,101.9737078,0.003885012,0.41,-2.6619031133816367
109,6,88.82718444,0.94013926,0.020291831,0.403,-2.047758567003103
110,2,-824.5629639,77.26624039,0.006377661,0.41,-2.490528626381292
111,6,-37.88090006,7.529249139,0.018968545,0.403,-2.07553379612701
112,2,306.5084201,27.34059644,0.004791789,0.41,-2.590503022440779
113,5,-123.0386212,19.21781359,0.015174373,0.64,-2.1655087505781165
114,2,974.6534277,101.875712,0.005081248,0.41,-2.5702506384530444
115,5,-100.6858564,4.555310184,0.014275652,0.64,-2.189626934235873
116,6,34.37073736,5.548392967,0.008259722,0.403,-2.397232366450118
